ID,Input1_Expression_1,Input2_Expression_2,Input3,Input4,PE_bin0_Expression_1,PE_bin0_Expression_2,PE_bin1_Expression_1,PE_bin1_Expression_2,PE_bin2_Expression_1,PE_bin2_Expression_2,bin_0_1,bin_0_2,bin_1_1,bin_1_2,bin_2_1,bin_2_2,concentration,class,Input1_Expression_1_freq,Input2_Expression_2_freq,PE_bin0_Expression_1_freq,PE_bin1_Expression_1_freq,PE_bin2_Expression_1_freq,PE_bin0_Expression_2_freq,PE_bin1_Expression_2_freq,PE_bin2_Expression_2_freq,avg_input_freq,Exp_weight_1,Exp_score_1,Exp_weight_2,Exp_score_2,Exp_score
AY393352.1,2329.0,1370.0,2038.0,1332.0,27.0,705.0,956.0,4957.0,2473.0,2751.0,2160.0,1921.0,1802.0,466.0,31.0,13.0,A,others,0.00035507375247580125,0.0003819467079871158,7.459447910275629e-06,0.0002543286361819558,0.0005582810179940697,0.00025820637272345917,0.0009957838855736262,0.0006749571284498354,0.0003685102302314585,1.8741461761411244,2.2305805766019824,0.4173092316621894,1.7781492532174512,2.0043649149097167
MN281064.1,3350.0,2004.0,1834.0,1573.0,5539.0,5601.0,5023.0,7187.0,1174.0,300.0,3008.0,3512.0,531.0,386.0,42.0,43.0,A,others,0.0005106661564576868,0.0005585726838177733,0.001475905050818821,0.0013351589009176028,0.00026514963465765234,0.0020488273371059747,0.0014436657058296137,7.382343592420075e-05,0.00053461942013773,-0.745567385930433,0.6710904441404411,-1.4433111057431864,0.19608536586440348,0.4335879050024223
20A-620-30_2F11,2743.0,1560.0,3166.0,2038.0,47.0,58.0,6340.0,3895.0,3360.0,5199.0,3098.0,5588.0,2485.0,42.0,111.0,62.0,A,influenza,0.0004181641102118449,0.00043487878276286487,1.2787624989043937e-05,0.001685159751337285,0.0007584407847526549,2.1578152961308908e-05,0.0007824877003216715,0.0012753550392220726,0.0004265214464873549,1.773131787284132,2.1704476884344133,1.7716168351431745,2.9297012967809226,2.550074492607668
1009-3B05_1,3193.0,4903.0,23698.0,9550.0,150088.0,103877.0,61975.0,58925.0,2850.0,2022.0,46005.0,50631.0,695.0,965.0,663.0,1117.0,A,influenza,0.0004867405860118924,0.001366204708948808,0.03998503847876282,0.016470503193325905,0.0006433545603480569,0.03799144700533639,0.011834925623499696,0.0004961621623742795,0.0009264726474803502,-1.7934471345333207,0.04729777015807581,-1.8840621934906445,-0.17868017077871604,-0.06569120031032011
KX948679.1,4024.0,2531.0,3557.0,2299.0,1956.0,40.0,661.0,2784.0,3001.0,4438.0,2194.0,1662.0,1013.0,32.0,48.0,259.0,A,others,0.0006133784779893133,0.0007053895438536668,0.0005213621271574788,0.00017593057173715228,0.0006774291091423594,1.4994987651079072e-05,0.0005593501656560204,0.0010887117344436116,0.0006593840109214901,0.11372437443949215,1.1826185136988343,1.8609667914561507,3.0056745280616552,2.094146520880245
MN282356.1,475.0,542.0,569.0,534.0,3332.0,4097.0,2158.0,3327.0,139.0,293.0,1975.0,2262.0,15.0,30.0,21.0,22.0,A,others,7.253867217960575e-05,0.00015127429791174607,0.0008879407101767383,0.0005737675292756976,3.1592296895379855e-05,0.0014987673022956594,0.0006684083846690254,7.210661183294026e-05,0.0001119064850456759,-1.4488027657920504,0.25246122773678914,-1.3177591205024994,0.30284076235317015,0.27765099504497964
MG904946.1,1200.0,551.0,520.0,517.0,1439.0,1034.0,3356.0,1705.0,25.0,14.0,2175.0,1108.0,18.0,4.0,16.0,10.0,A,others,0.00018302299430190443,0.00015378160671691314,0.0003836287496713181,0.0008921433977667979,5.867140851999115e-06,0.0003785320053382156,0.00034263963468910975,3.678908766986748e-06,0.00016840230050940878,-1.81548463193419,0.03417906121280231,-2.012383587586736,-0.28779036348859727,-0.1268056511378975
MN395522.1,1499.0,505.0,25.0,226.0,0.0,0.0,143.0,317.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,A,others,0.00022858825266682485,0.00014096647282383704,2.6640885393841534e-07,3.8268885695090525e-05,1.1282963176921377e-06,3.657314061238798e-07,6.3868349256235e-05,2.452605844657832e-07,0.00018477736274533096,0.6268745165262605,1.4880918275151538,-0.1735344968494804,1.2757616853964693,1.3819267564558115
MK901966.1,4050.0,2575.0,3742.0,2367.0,4900.0,3039.0,6558.0,8351.0,5222.0,3854.0,6526.0,6690.0,2018.0,117.0,163.0,51.0,A,others,0.0006173406743688717,0.0007176474980122613,0.0013056697931521735,0.0017430945921812415,0.001178618333461207,0.0011118234746165946,0.001677447965371304,0.0009454795531155943,0.0006674940861905664,-0.04446016448539424,1.088452788432951,-0.07038369807125845,1.36346961291822,1.2259612006755853
MK269436.1,4284.0,4300.0,3332.0,1516.0,3049.0,4831.0,13730.0,7228.0,619.0,636.0,6995.0,3208.0,1305.0,487.0,1115.0,37.0,A,others,0.0006530004417848964,0.0011982150190026149,0.0008125470045121667,0.003649097704717278,0.00013990874339382507,0.0017672141543905871,0.001451900304318625,0.00015623099230470391,0.0009256077303937556,-0.7640036376582902,0.660115521894959,-1.0535219901272055,0.5275185288272838,0.5938170253611215
MK434059.1,3520.0,2043.0,2559.0,1546.0,1566.0,42.0,7033.0,4786.0,847.0,2302.0,2326.0,2043.0,30.0,1007.0,113.0,25.0,A,others,0.0005365728250932602,0.0005694376886401639,0.0004174626741214968,0.0018693287637449082,0.00019135905548058654,1.572645046332683e-05,0.000961439584558481,0.0005648351260246987,0.000553005256866712,-0.3387686320216346,0.9132538057397018,1.555290985535164,2.7457619365119426,1.8295078711258221
MN288066.1,3911.0,2398.0,2979.0,2220.0,2461.0,819.0,2484.0,5484.0,4033.0,2643.0,3513.0,3012.0,2844.0,51.0,68.0,27.0,A,others,0.0005961581629550792,0.0006683370915106425,0.0006558985983963786,0.0006604040343909719,0.0009103094691140166,0.00029989975302158146,0.0011016286027372608,0.0006484689853275307,0.0006322476272328608,0.14235235747169078,1.1996604749641289,0.3349131015804054,1.7080887797079467,1.4538746273360377
KF895799.1,2500.0,1287.0,1842.0,1362.0,5166.0,1888.0,2741.0,4194.0,1362.0,1399.0,4937.0,2568.0,1586.0,56.0,265.0,179.0,A,others,0.0003811328132798193,0.00035882374900613064,0.001376534548299792,0.0007287033651106822,0.0003075735762028767,0.000690866626168009,0.0008425400161317793,0.0003433648182520965,0.000369978281142975,-0.6508380935207465,0.7274818752139788,-0.3036384190930761,1.1651358296823402,0.9463088524481595
EU099092.1,1740.0,2117.0,2796.0,2002.0,2241.0,3622.0,1271.0,3361.0,4090.0,3791.0,4241.0,6637.0,818.0,50.0,41.0,47.0,A,others,0.0002653147652619614,0.0005900533388159819,0.0005972886505299272,0.0003380418236399663,0.000923172047135707,0.0013250448843868166,0.0006752370760989373,0.0009300281362942499,0.00042768405203897166,0.18909838342966107,1.2274879318543392,-0.15373450221798868,1.292597391126715,1.2600426614905271
