,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
0,HM774656.1,,,,13.0,,,,11.0,5.0,3.0,4.0,1.0,A
1,ADI-19441,721.0,444.0,996.0,1617.0,1796.0,5103.0,23.0,109.0,7851.0,9050.0,10851.0,9326.0,A
2,HM774743.1,,,,19.0,,,,18.0,5.0,11.0,3.0,4.0,A
3,MN281564.1,,,,5.0,,,,3.0,2.0,2.0,1.0,4.0,A
4,125f12,243.0,306.0,417.0,287.0,649.0,2408.0,6.0,299.0,3251.0,3786.0,4503.0,3894.0,A
5,AB826502.1,,,,1.0,,,,2.0,8.0,2.0,1.0,3.0,A
6,321.5.GC.12.3C10,368.0,167.0,263.0,445.0,640.0,2598.0,516.0,1314.0,3047.0,3481.0,4131.0,3422.0,A
7,051_09_4E06,511.0,63.0,796.0,620.0,700.0,2952.0,124.0,47.0,3805.0,4494.0,5219.0,4129.0,A
8,MG524301.1,,,,11.0,,,1.0,20.0,8.0,10.0,2.0,7.0,A
9,KT304378.1,,,,29.0,,,,38.0,12.0,15.0,13.0,15.0,A
10,321.5.PB.5.7A11,1127.0,45.0,566.0,991.0,1286.0,4053.0,65.0,281.0,4681.0,5229.0,5978.0,5190.0,A
11,042-100809_3C06,202.0,2.0,264.0,232.0,384.0,1087.0,61.0,102.0,2286.0,2940.0,3044.0,2605.0,A
12,321.5.GC.60.1B11,,,,4.0,,,,6.0,1.0,2.0,,1.0,A
13,HM995241.1,,,,10.0,,,,4.0,2.0,,,,A
14,MW176452.1,,,,4.0,,,,6.0,2.0,4.0,4.0,,A
15,W85-3H03,,,,,99.0,51.0,180.0,104.0,191.0,226.0,242.0,252.0,A
16,MN288028.1,,,,26.0,,,,14.0,2.0,3.0,1.0,,A
